date;Leverage;No leverage;datealt;CRIX
13/10/2018;0.951222;0.710275;;
13/10/2018;0.951222;0.71045;;
13/10/2018;0.951222;0.709731;;
13/10/2018;0.951222;0.709514;;
13/10/2018;0.951222;0.707361;;
13/10/2018;0.951222;0.705179;;
13/10/2018;0.951222;0.705799;;
13/10/2018;0.951222;0.707411;;
13/10/2018;0.951222;0.70706;;
13/10/2018;0.951222;0.707015;;
13/10/2018;0.951222;0.707631;;
13/10/2018;0.951222;0.708032;;
13/10/2018;0.951222;0.706349;;
13/10/2018;0.951222;0.70518;;
13/10/2018;0.951222;0.704541;;
13/10/2018;0.951222;0.70499;;
13/10/2018;0.951222;0.705204;;
13/10/2018;0.951222;0.708848;;
13/10/2018;0.951222;0.707999;;
13/10/2018;0.951222;0.708717;;
13/10/2018;0.951222;0.708305;;
13/10/2018;0.951222;0.707468;;
13/10/2018;0.951222;0.707933;;
13/10/2018;0.951222;0.706506;;
13/10/2018;0.951222;0.705178;;
13/10/2018;0.951222;0.705462;;
13/10/2018;0.951222;0.707431;;
13/10/2018;0.951222;0.707659;;
13/10/2018;0.951222;0.706355;;
13/10/2018;0.951222;0.706141;;
13/10/2018;0.951222;0.705158;;
13/10/2018;0.951222;0.704776;;
13/10/2018;0.951222;0.705838;;
13/10/2018;0.951222;0.704826;;
13/10/2018;0.951222;0.706;;
13/10/2018;0.951222;0.706734;;
13/10/2018;0.951222;0.706758;;
13/10/2018;0.951222;0.707441;;
13/10/2018;0.951222;0.706691;;
13/10/2018;0.951218;0.707284;;
13/10/2018;0.95122;0.707622;;
13/10/2018;0.951217;0.705317;;
13/10/2018;0.951217;0.705125;;
13/10/2018;0.951216;0.704242;;
13/10/2018;0.951216;0.704193;;
13/10/2018;0.951216;0.703317;;
13/10/2018;0.951216;0.703679;;
14/10/2018;0.951216;0.704951;;
14/10/2018;0.951216;0.704297;;
14/10/2018;0.951216;0.704406;;
14/10/2018;0.951216;0.704363;;
14/10/2018;0.951216;0.704155;;
14/10/2018;0.951216;0.703385;;
14/10/2018;0.951216;0.703435;;
14/10/2018;0.951216;0.7017;;
14/10/2018;0.951215;0.702147;;
14/10/2018;0.951215;0.701606;;
14/10/2018;0.951215;0.70164;;
14/10/2018;0.951215;0.701881;;
14/10/2018;0.951215;0.701851;;
14/10/2018;0.951215;0.701868;;
14/10/2018;0.951215;0.702538;;
14/10/2018;0.951215;0.70311;;
14/10/2018;0.951215;0.703415;;
14/10/2018;0.951215;0.703682;;
14/10/2018;0.951215;0.70287;;
14/10/2018;0.951215;0.701944;;
14/10/2018;0.951215;0.701659;;
14/10/2018;0.951215;0.70202;;
14/10/2018;0.951215;0.701728;;
14/10/2018;0.951214;0.701297;;
14/10/2018;0.951214;0.701512;;
14/10/2018;0.951214;0.701243;;
14/10/2018;0.951214;0.70058;;
14/10/2018;0.951214;0.700823;;
14/10/2018;0.951214;0.699803;;
14/10/2018;0.951214;0.699959;;
14/10/2018;0.951214;0.700991;;
14/10/2018;0.951214;0.700834;;
14/10/2018;0.951214;0.70011;;
14/10/2018;0.951214;0.700369;;
14/10/2018;0.951214;0.700798;;
14/10/2018;0.951214;0.700629;;
14/10/2018;0.951214;0.700416;;
14/10/2018;0.951214;0.699163;;
14/10/2018;0.951214;0.698922;;
14/10/2018;0.951214;0.698345;;
14/10/2018;0.951214;0.698937;;
14/10/2018;0.951214;0.698842;;
14/10/2018;0.951214;0.698276;;
14/10/2018;0.951214;0.697531;;
14/10/2018;0.951214;0.696688;;
14/10/2018;0.951214;0.697071;;
14/10/2018;0.951214;0.696884;;
14/10/2018;0.951214;0.696567;;
15/10/2018;0.951214;0.69637;;
15/10/2018;0.951214;0.696241;;
15/10/2018;0.951214;0.696167;;
15/10/2018;0.951214;0.695789;;
15/10/2018;0.951214;0.69608;;
15/10/2018;0.951214;0.695907;;
15/10/2018;0.951214;0.695673;;
15/10/2018;0.951215;0.696193;;
15/10/2018;0.951214;0.6958;;
15/10/2018;0.951214;0.696319;;
15/10/2018;0.951214;0.695873;;
15/10/2018;0.951214;0.693763;;
15/10/2018;0.951214;0.692622;;
15/10/2018;0.951214;0.692487;;
15/10/2018;0.951214;0.691602;;
